'Nr.';'Vorname';'Nachname';'Geburtsdatum';'Straße';'Hausnummer';'Postleitzahl';'Stadt';'Telefon';'Mobil';'EMail';'Newsletter'
'42';'Ela';'von Puhl';'08.10.1944';'Steinerbergstraße';'172 c';'38162';'Cremlingen';'';'0167/7377725';'';''

'43';'Heimwald';'Weishäupl';'17.03.1903';'Georg-Appel-Straße';'180';'91233';'Neunkirchen am Sand';'09123/35386592';'0155/8107978';'';'ja'

'44';'Heidetraud-Caroline';'Spiekermann';'22.11.1959';'Flughafenstraße';'166';'29378';'Wittingen';'05831/66752254';'0150/5233346';'heidetraud-carolinespiekermann@company.none';''

'45';'Herko';'Mensing';'';'Dr.-Mutterer-Straße';'34';'79793';'Wutöschingen';'07746/33236002';'0154/4497765';'herko-mensing@net-mail.none';''

'46';'Veit';'Lehnhoff';'02.07.1914';'Pestelstraße';'83';'41352';'Korschenbroich';'02161/28840552';'0150/9363956';'veitlehnhoff@goggle-mail.none';'ja'

'47';'Jens';'Brühl';'20.02.1909';'Ursulastraße';'70';'56753';'Mertloch';'02654/31959664';'0166/9285557';'jens-bruehl@funmail.none';''

'48';'Friderika';'Höpfl-Allmann';'29.04.1954';'Reinersweg';'17';'58507';'Lüdenscheid';'02351/90906456';'0175/6121072';'fhoepfl_allmann@retromail.none';'ja'

'49';'Torben';'Reiß';'27.02.2011';'Oleftal';'150';'54552';'Brockscheid';'06592/87025799';'0165/2375818';'t_2011@bestmail.none';''

'50';'Erna Katja';'Viehweger';'17.05.1956';'Zum Heisterholz';'4';'14776';'Brandenburg an der Havel';'03381/42352897';'0167/7037073';'ernakatja-viehweger@spam-mail.none';'ja'

